name,type,link,package
Blued,聊天社交,https://app.mi.com/details?id=com.soft.blued,com.soft.blued
组CP-语音交友,聊天社交,https://app.mi.com/details?id=me.ddkj.cp,me.ddkj.cp
算爱社,聊天社交,https://app.mi.com/details?id=com.suanaiyanxishe.loveandroid,com.suanaiyanxishe.loveandroid
豆瓣,聊天社交,https://app.mi.com/details?id=com.douban.frodo,com.douban.frodo
小恩爱-情侣必备,聊天社交,https://app.mi.com/details?id=com.xiaoenai.app,com.xiaoenai.app
同桌派对-原同桌游戏,聊天社交,https://app.mi.com/details?id=com.tongzhuo.tongzhuogame,com.tongzhuo.tongzhuogame
堆糖,聊天社交,https://app.mi.com/details?id=com.duitang.main,com.duitang.main
腾讯先锋,聊天社交,https://app.mi.com/details?id=com.tencent.gamereva,com.tencent.gamereva
掌上飞车,聊天社交,https://app.mi.com/details?id=com.tencent.gamehelper.speed,com.tencent.gamehelper.speed
纹身大咖,聊天社交,https://app.mi.com/details?id=com.weimi.mzg.ws,com.weimi.mzg.ws
微博轻享版-原微博国际版,聊天社交,https://app.mi.com/details?id=com.weico.international,com.weico.international
Soul,聊天社交,https://app.mi.com/details?id=cn.soulapp.android,cn.soulapp.android
